ForecastDate,ForecastRemainingQty,PartNum,RevisionNum,MtlPartNum
2017-03-19,185.0,1000 0471,J,331564S
2017-03-26,185.0,1000 0471,J,331564S
2017-04-02,185.0,1000 0471,J,331564S
2017-04-09,185.0,1000 0471,J,331564S
2017-04-16,185.0,1000 0471,J,331564S
2017-04-23,185.0,1000 0471,J,331564S
2017-02-05,185.0,1000 0471,J,581117S
2017-02-12,185.0,1000 0471,J,581117S
2017-02-19,185.0,1000 0471,J,581117S
2017-02-26,185.0,1000 0471,J,581117S
2017-03-05,185.0,1000 0471,J,581117S
2017-03-12,185.0,1000 0471,J,581117S
2017-03-19,185.0,1000 0471,J,581117S
2017-03-26,185.0,1000 0471,J,581117S
2017-04-02,185.0,1000 0471,J,581117S
2017-04-09,185.0,1000 0471,J,581117S
2017-04-16,185.0,1000 0471,J,581117S
2017-04-23,185.0,1000 0471,J,581117S
2017-02-05,185.0,1000 0471,J,581152S
2017-02-12,185.0,1000 0471,J,581152S
2017-02-19,185.0,1000 0471,J,581152S
2017-02-26,185.0,1000 0471,J,581152S
2017-03-05,185.0,1000 0471,J,581152S
2017-03-12,185.0,1000 0471,J,581152S
2017-03-19,185.0,1000 0471,J,581152S
2017-03-26,185.0,1000 0471,J,581152S
2017-04-02,185.0,1000 0471,J,581152S
2017-04-09,185.0,1000 0471,J,581152S
2017-04-16,185.0,1000 0471,J,581152S
2017-04-23,185.0,1000 0471,J,581152S
2017-02-05,185.0,1000 0471,J,581208S
2017-02-12,185.0,1000 0471,J,581208S
2017-02-19,185.0,1000 0471,J,581208S
2017-02-26,185.0,1000 0471,J,581208S
2017-03-05,185.0,1000 0471,J,581208S
2017-03-12,185.0,1000 0471,J,581208S
2017-03-19,185.0,1000 0471,J,581208S
2017-03-26,185.0,1000 0471,J,581208S
2017-04-02,185.0,1000 0471,J,581208S
2017-04-09,185.0,1000 0471,J,581208S
2017-04-16,185.0,1000 0471,J,581208S
2017-04-23,185.0,1000 0471,J,581208S
2017-02-05,185.0,1000 0471,J,611000S
2017-02-12,185.0,1000 0471,J,611000S
2017-02-19,185.0,1000 0471,J,611000S
2017-02-26,185.0,1000 0471,J,611000S
2017-03-05,185.0,1000 0471,J,611000S
2017-03-12,185.0,1000 0471,J,611000S
2017-03-19,185.0,1000 0471,J,611000S
2017-03-26,185.0,1000 0471,J,611000S
2017-04-02,185.0,1000 0471,J,611000S
2017-04-09,185.0,1000 0471,J,611000S
2017-04-16,185.0,1000 0471,J,611000S
2017-04-23,185.0,1000 0471,J,611000S
2017-02-05,185.0,1000 0471,J,611002S
2017-02-12,185.0,1000 0471,J,611002S
2017-02-19,185.0,1000 0471,J,611002S
2017-02-26,185.0,1000 0471,J,611002S
2017-03-05,185.0,1000 0471,J,611002S
2017-03-12,185.0,1000 0471,J,611002S
2017-03-19,185.0,1000 0471,J,611002S
2017-03-26,185.0,1000 0471,J,611002S
2017-04-02,185.0,1000 0471,J,611002S
2017-04-09,185.0,1000 0471,J,611002S
2017-04-16,185.0,1000 0471,J,611002S
2017-04-23,185.0,1000 0471,J,611002S
2017-02-05,185.0,1000 0471,J,611006S
2017-02-12,185.0,1000 0471,J,611006S
2017-02-19,185.0,1000 0471,J,611006S
2017-02-26,185.0,1000 0471,J,611006S
2017-03-05,185.0,1000 0471,J,611006S
2017-03-12,185.0,1000 0471,J,611006S
2017-03-19,185.0,1000 0471,J,611006S
2017-03-26,185.0,1000 0471,J,611006S
2017-04-02,185.0,1000 0471,J,611006S
2017-04-09,185.0,1000 0471,J,611006S
2017-04-16,185.0,1000 0471,J,611006S
2017-04-23,185.0,1000 0471,J,611006S
2017-02-05,185.0,1000 0471,J,611007S
2017-02-12,185.0,1000 0471,J,611007S
2017-02-19,185.0,1000 0471,J,611007S
2017-02-26,185.0,1000 0471,J,611007S
2017-03-05,185.0,1000 0471,J,611007S
2017-03-12,185.0,1000 0471,J,611007S
2017-03-19,185.0,1000 0471,J,611007S
2017-03-26,185.0,1000 0471,J,611007S
2017-04-02,185.0,1000 0471,J,611007S
2017-04-09,185.0,1000 0471,J,611007S
2017-04-16,185.0,1000 0471,J,611007S
2017-04-23,185.0,1000 0471,J,611007S
2017-02-05,185.0,1000 0471,J,611014S
2017-02-12,185.0,1000 0471,J,611014S
2017-02-19,185.0,1000 0471,J,611014S
2017-02-26,185.0,1000 0471,J,611014S
2017-03-05,185.0,1000 0471,J,611014S
2017-03-12,185.0,1000 0471,J,611014S
2017-03-19,185.0,1000 0471,J,611014S
2017-03-26,185.0,1000 0471,J,611014S
2017-04-02,185.0,1000 0471,J,611014S
2017-04-09,185.0,1000 0471,J,611014S
2017-04-16,185.0,1000 0471,J,611014S
2017-04-23,185.0,1000 0471,J,611014S
2017-02-05,185.0,1000 0471,J,611018S
2017-02-12,185.0,1000 0471,J,611018S
2017-02-19,185.0,1000 0471,J,611018S
2017-02-26,185.0,1000 0471,J,611018S
2017-03-05,185.0,1000 0471,J,611018S
2017-03-12,185.0,1000 0471,J,611018S
2017-03-19,185.0,1000 0471,J,611018S
2017-03-26,185.0,1000 0471,J,611018S
2017-04-02,185.0,1000 0471,J,611018S
2017-04-09,185.0,1000 0471,J,611018S
2017-04-16,185.0,1000 0471,J,611018S
2017-04-23,185.0,1000 0471,J,611018S
2017-02-05,185.0,1000 0471,J,611030S
2017-02-12,185.0,1000 0471,J,611030S
2017-02-19,185.0,1000 0471,J,611030S
2017-02-26,185.0,1000 0471,J,611030S
2017-03-05,185.0,1000 0471,J,611030S
2017-03-12,185.0,1000 0471,J,611030S
2017-03-19,185.0,1000 0471,J,611030S
2017-03-26,185.0,1000 0471,J,611030S
2017-04-02,185.0,1000 0471,J,611030S
2017-04-09,185.0,1000 0471,J,611030S
2017-04-16,185.0,1000 0471,J,611030S
2017-04-23,185.0,1000 0471,J,611030S
2017-02-05,185.0,1000 0471,J,611032S
2017-02-12,185.0,1000 0471,J,611032S
2017-02-19,185.0,1000 0471,J,611032S
2017-02-26,185.0,1000 0471,J,611032S
2017-03-05,185.0,1000 0471,J,611032S
2017-03-12,185.0,1000 0471,J,611032S
2017-03-19,185.0,1000 0471,J,611032S
2017-03-26,185.0,1000 0471,J,611032S
2017-04-02,185.0,1000 0471,J,611032S
2017-04-09,185.0,1000 0471,J,611032S
2017-04-16,185.0,1000 0471,J,611032S
2017-04-23,185.0,1000 0471,J,611032S
2017-02-05,185.0,1000 0471,J,611037S
2017-02-12,185.0,1000 0471,J,611037S
2017-02-19,185.0,1000 0471,J,611037S
2017-02-26,185.0,1000 0471,J,611037S
2017-03-05,185.0,1000 0471,J,611037S
2017-03-12,185.0,1000 0471,J,611037S
2017-03-19,185.0,1000 0471,J,611037S
2017-03-26,185.0,1000 0471,J,611037S
2017-04-02,185.0,1000 0471,J,611037S
2017-04-09,185.0,1000 0471,J,611037S
2017-04-16,185.0,1000 0471,J,611037S
2017-04-23,185.0,1000 0471,J,611037S
2017-02-05,185.0,1000 0471,J,611040S
2017-02-12,185.0,1000 0471,J,611040S
2017-02-19,185.0,1000 0471,J,611040S
2017-02-26,185.0,1000 0471,J,611040S
2017-03-05,185.0,1000 0471,J,611040S
2017-03-12,185.0,1000 0471,J,611040S
2017-03-19,185.0,1000 0471,J,611040S
2017-03-26,185.0,1000 0471,J,611040S
2017-04-02,185.0,1000 0471,J,611040S
2017-04-09,185.0,1000 0471,J,611040S
2017-04-16,185.0,1000 0471,J,611040S
2017-04-23,185.0,1000 0471,J,611040S
2017-02-05,185.0,1000 0471,J,611056S
2017-02-12,185.0,1000 0471,J,611056S
2017-02-19,185.0,1000 0471,J,611056S
2017-02-26,185.0,1000 0471,J,611056S
2017-03-05,185.0,1000 0471,J,611056S
2017-03-12,185.0,1000 0471,J,611056S
2017-03-19,185.0,1000 0471,J,611056S
2017-03-26,185.0,1000 0471,J,611056S
2017-04-02,185.0,1000 0471,J,611056S
2017-04-09,185.0,1000 0471,J,611056S
2017-04-16,185.0,1000 0471,J,611056S
2017-04-23,185.0,1000 0471,J,611056S
2017-02-05,185.0,1000 0471,J,611057S
2017-02-12,185.0,1000 0471,J,611057S
2017-02-19,185.0,1000 0471,J,611057S
2017-02-26,185.0,1000 0471,J,611057S
2017-03-05,185.0,1000 0471,J,611057S
2017-03-12,185.0,1000 0471,J,611057S
2017-03-19,185.0,1000 0471,J,611057S
2017-03-26,185.0,1000 0471,J,611057S
2017-04-02,185.0,1000 0471,J,611057S
2017-04-09,185.0,1000 0471,J,611057S
2017-04-16,185.0,1000 0471,J,611057S
2017-04-23,185.0,1000 0471,J,611057S
2017-02-05,185.0,1000 0471,J,611118S
2017-02-12,185.0,1000 0471,J,611118S
2017-02-19,185.0,1000 0471,J,611118S
2017-02-26,185.0,1000 0471,J,611118S
2017-03-05,185.0,1000 0471,J,611118S
2017-03-12,185.0,1000 0471,J,611118S
2017-03-19,185.0,1000 0471,J,611118S
2017-03-26,185.0,1000 0471,J,611118S
2017-04-02,185.0,1000 0471,J,611118S
2017-04-09,185.0,1000 0471,J,611118S
2017-04-16,185.0,1000 0471,J,611118S
2017-04-23,185.0,1000 0471,J,611118S
2017-02-05,185.0,1000 0471,J,611122S
2017-02-12,185.0,1000 0471,J,611122S
2017-02-19,185.0,1000 0471,J,611122S
2017-02-26,185.0,1000 0471,J,611122S
2017-03-05,185.0,1000 0471,J,611122S
2017-03-12,185.0,1000 0471,J,611122S
2017-03-19,185.0,1000 0471,J,611122S
2017-03-26,185.0,1000 0471,J,611122S
2017-04-02,185.0,1000 0471,J,611122S
2017-04-09,185.0,1000 0471,J,611122S
2017-04-16,185.0,1000 0471,J,611122S
2017-04-23,185.0,1000 0471,J,611122S
2017-02-05,185.0,1000 0471,J,611135S
2017-02-12,185.0,1000 0471,J,611135S
2017-02-19,185.0,1000 0471,J,611135S
2017-02-26,185.0,1000 0471,J,611135S
2017-03-05,185.0,1000 0471,J,611135S
2017-03-12,185.0,1000 0471,J,611135S
2017-03-19,185.0,1000 0471,J,611135S
2017-03-26,185.0,1000 0471,J,611135S
2017-04-02,185.0,1000 0471,J,611135S
2017-04-09,185.0,1000 0471,J,611135S
2017-04-16,185.0,1000 0471,J,611135S
2017-04-23,185.0,1000 0471,J,611135S
2017-02-05,185.0,1000 0471,J,611140S
2017-02-12,185.0,1000 0471,J,611140S
2017-02-19,185.0,1000 0471,J,611140S
2017-02-26,185.0,1000 0471,J,611140S
2017-03-05,185.0,1000 0471,J,611140S
2017-03-12,185.0,1000 0471,J,611140S
2017-03-19,185.0,1000 0471,J,611140S
2017-03-26,185.0,1000 0471,J,611140S
2017-04-02,185.0,1000 0471,J,611140S
2017-04-09,185.0,1000 0471,J,611140S
2017-04-16,185.0,1000 0471,J,611140S
2017-04-23,185.0,1000 0471,J,611140S
2017-02-05,185.0,1000 0471,J,611141S
2017-02-12,185.0,1000 0471,J,611141S
2017-02-19,185.0,1000 0471,J,611141S
2017-02-26,185.0,1000 0471,J,611141S
2017-03-05,185.0,1000 0471,J,611141S
2017-03-12,185.0,1000 0471,J,611141S
2017-03-19,185.0,1000 0471,J,611141S
2017-03-26,185.0,1000 0471,J,611141S
2017-04-02,185.0,1000 0471,J,611141S
2017-04-09,185.0,1000 0471,J,611141S
2017-04-16,185.0,1000 0471,J,611141S
2017-04-23,185.0,1000 0471,J,611141S
2017-02-05,185.0,1000 0471,J,611212S
2017-02-12,185.0,1000 0471,J,611212S
2017-02-19,185.0,1000 0471,J,611212S
2017-02-26,185.0,1000 0471,J,611212S
2017-03-05,185.0,1000 0471,J,611212S
2017-03-12,185.0,1000 0471,J,611212S
2017-03-19,185.0,1000 0471,J,611212S
2017-03-26,185.0,1000 0471,J,611212S
2017-04-02,185.0,1000 0471,J,611212S
2017-04-09,185.0,1000 0471,J,611212S
2017-04-16,185.0,1000 0471,J,611212S
2017-04-23,185.0,1000 0471,J,611212S
2017-02-05,185.0,1000 0471,J,611236S
2017-02-12,185.0,1000 0471,J,611236S
2017-02-19,185.0,1000 0471,J,611236S
2017-02-26,185.0,1000 0471,J,611236S
2017-03-05,185.0,1000 0471,J,611236S
2017-03-12,185.0,1000 0471,J,611236S
2017-03-19,185.0,1000 0471,J,611236S
2017-03-26,185.0,1000 0471,J,611236S
2017-04-02,185.0,1000 0471,J,611236S
2017-04-09,185.0,1000 0471,J,611236S
2017-04-16,185.0,1000 0471,J,611236S
2017-04-23,185.0,1000 0471,J,611236S
2017-02-05,185.0,1000 0471,J,611311S
2017-02-12,185.0,1000 0471,J,611311S
2017-02-19,185.0,1000 0471,J,611311S
2017-02-26,185.0,1000 0471,J,611311S
2017-03-05,185.0,1000 0471,J,611311S
2017-03-12,185.0,1000 0471,J,611311S
2017-03-19,185.0,1000 0471,J,611311S
2017-03-26,185.0,1000 0471,J,611311S
2017-04-02,185.0,1000 0471,J,611311S
2017-04-09,185.0,1000 0471,J,611311S
2017-04-16,185.0,1000 0471,J,611311S
2017-04-23,185.0,1000 0471,J,611311S
2017-02-05,185.0,1000 0471,J,611323S
2017-02-12,185.0,1000 0471,J,611323S
2017-02-19,185.0,1000 0471,J,611323S
2017-02-26,185.0,1000 0471,J,611323S
2017-03-05,185.0,1000 0471,J,611323S
2017-03-12,185.0,1000 0471,J,611323S
2017-03-19,185.0,1000 0471,J,611323S
2017-03-26,185.0,1000 0471,J,611323S
2017-04-02,185.0,1000 0471,J,611323S
2017-04-09,185.0,1000 0471,J,611323S
2017-04-16,185.0,1000 0471,J,611323S
2017-04-23,185.0,1000 0471,J,611323S
2017-02-05,185.0,1000 0471,J,611327S
2017-02-12,185.0,1000 0471,J,611327S
2017-02-19,185.0,1000 0471,J,611327S
2017-02-26,185.0,1000 0471,J,611327S
2017-03-05,185.0,1000 0471,J,611327S
2017-03-12,185.0,1000 0471,J,611327S
2017-03-19,185.0,1000 0471,J,611327S
2017-03-26,185.0,1000 0471,J,611327S
2017-04-02,185.0,1000 0471,J,611327S
2017-04-09,185.0,1000 0471,J,611327S
2017-04-16,185.0,1000 0471,J,611327S
2017-04-23,185.0,1000 0471,J,611327S
2017-02-05,185.0,1000 0471,J,611338S
2017-02-12,185.0,1000 0471,J,611338S
2017-02-19,185.0,1000 0471,J,611338S
2017-02-26,185.0,1000 0471,J,611338S
2017-03-05,185.0,1000 0471,J,611338S
2017-03-12,185.0,1000 0471,J,611338S
2017-03-19,185.0,1000 0471,J,611338S
2017-03-26,185.0,1000 0471,J,611338S
2017-04-02,185.0,1000 0471,J,611338S
2017-04-09,185.0,1000 0471,J,611338S
2017-04-16,185.0,1000 0471,J,611338S
2017-04-23,185.0,1000 0471,J,611338S
2017-02-05,185.0,1000 0471,J,611339S
2017-02-12,185.0,1000 0471,J,611339S
2017-02-19,185.0,1000 0471,J,611339S
2017-02-26,185.0,1000 0471,J,611339S
2017-03-05,185.0,1000 0471,J,611339S
2017-03-12,185.0,1000 0471,J,611339S
2017-03-19,185.0,1000 0471,J,611339S
2017-03-26,185.0,1000 0471,J,611339S
2017-04-02,185.0,1000 0471,J,611339S
2017-04-09,185.0,1000 0471,J,611339S
2017-04-16,185.0,1000 0471,J,611339S
2017-04-23,185.0,1000 0471,J,611339S
2017-02-05,185.0,1000 0471,J,611340S
2017-02-12,185.0,1000 0471,J,611340S
2017-02-19,185.0,1000 0471,J,611340S
2017-02-26,185.0,1000 0471,J,611340S
2017-03-05,185.0,1000 0471,J,611340S
2017-03-12,185.0,1000 0471,J,611340S
2017-03-19,185.0,1000 0471,J,611340S
2017-03-26,185.0,1000 0471,J,611340S
2017-04-02,185.0,1000 0471,J,611340S
2017-04-09,185.0,1000 0471,J,611340S
2017-04-16,185.0,1000 0471,J,611340S
2017-04-23,185.0,1000 0471,J,611340S
2017-02-05,185.0,1000 0471,J,611341S
2017-02-12,185.0,1000 0471,J,611341S
2017-02-19,185.0,1000 0471,J,611341S
2017-02-26,185.0,1000 0471,J,611341S
2017-03-05,185.0,1000 0471,J,611341S
2017-03-12,185.0,1000 0471,J,611341S
2017-03-19,185.0,1000 0471,J,611341S
2017-03-26,185.0,1000 0471,J,611341S
2017-04-02,185.0,1000 0471,J,611341S
2017-04-09,185.0,1000 0471,J,611341S
2017-04-16,185.0,1000 0471,J,611341S
2017-04-23,185.0,1000 0471,J,611341S
2017-02-05,185.0,1000 0471,J,PWI-0471
2017-02-12,185.0,1000 0471,J,PWI-0471
2017-02-19,185.0,1000 0471,J,PWI-0471
2017-02-26,185.0,1000 0471,J,PWI-0471
2017-03-05,185.0,1000 0471,J,PWI-0471
2017-03-12,185.0,1000 0471,J,PWI-0471
2017-03-19,185.0,1000 0471,J,PWI-0471
2017-03-26,185.0,1000 0471,J,PWI-0471
2017-04-02,185.0,1000 0471,J,PWI-0471
2017-04-09,185.0,1000 0471,J,PWI-0471
2017-04-16,185.0,1000 0471,J,PWI-0471
2017-04-23,185.0,1000 0471,J,PWI-0471
2016-10-30,-351.4629607726058,1000 1359,11,1000 1359-CUST-DOCS
2016-11-06,-409.1179425992452,1000 1359,11,1000 1359-CUST-DOCS
2016-11-13,-466.77292442588464,1000 1359,11,1000 1359-CUST-DOCS
2016-11-20,-524.4279062525238,1000 1359,11,1000 1359-CUST-DOCS
2016-11-27,-582.0828880791632,1000 1359,11,1000 1359-CUST-DOCS
2016-12-04,-639.7378699058022,1000 1359,11,1000 1359-CUST-DOCS
2016-12-11,-697.3928517324418,1000 1359,11,1000 1359-CUST-DOCS
2016-12-18,-755.0478335590808,1000 1359,11,1000 1359-CUST-DOCS
2016-12-25,-812.7028153857202,1000 1359,11,1000 1359-CUST-DOCS
2017-01-01,-870.3577972123599,1000 1359,11,1000 1359-CUST-DOCS
2017-01-08,-928.0127790389988,1000 1359,11,1000 1359-CUST-DOCS
2017-01-15,-985.6677608656378,1000 1359,11,1000 1359-CUST-DOCS
2016-10-30,-351.4629607726058,1000 1359,11,1000823S
2016-11-06,-409.1179425992452,1000 1359,11,1000823S
2016-11-13,-466.77292442588464,1000 1359,11,1000823S
2016-11-20,-524.4279062525238,1000 1359,11,1000823S
2016-11-27,-582.0828880791632,1000 1359,11,1000823S
2016-12-04,-639.7378699058022,1000 1359,11,1000823S
2016-12-11,-697.3928517324418,1000 1359,11,1000823S
2016-12-18,-755.0478335590808,1000 1359,11,1000823S
2016-12-25,-812.7028153857202,1000 1359,11,1000823S
2017-01-01,-870.3577972123599,1000 1359,11,1000823S
2017-01-08,-928.0127790389988,1000 1359,11,1000823S
2017-01-15,-985.6677608656378,1000 1359,11,1000823S
2016-10-30,-351.4629607726058,1000 1359,11,1001076S
2016-11-06,-409.1179425992452,1000 1359,11,1001076S
2016-11-13,-466.77292442588464,1000 1359,11,1001076S
2016-11-20,-524.4279062525238,1000 1359,11,1001076S
2016-11-27,-582.0828880791632,1000 1359,11,1001076S
2016-12-04,-639.7378699058022,1000 1359,11,1001076S
2016-12-11,-697.3928517324418,1000 1359,11,1001076S
2016-12-18,-755.0478335590808,1000 1359,11,1001076S
2016-12-25,-812.7028153857202,1000 1359,11,1001076S
2017-01-01,-870.3577972123599,1000 1359,11,1001076S
2017-01-08,-928.0127790389988,1000 1359,11,1001076S
2017-01-15,-985.6677608656378,1000 1359,11,1001076S
2016-10-30,-351.4629607726058,1000 1359,11,1002123S
2016-11-06,-409.1179425992452,1000 1359,11,1002123S
2016-11-13,-466.77292442588464,1000 1359,11,1002123S
2016-11-20,-524.4279062525238,1000 1359,11,1002123S
2016-11-27,-582.0828880791632,1000 1359,11,1002123S
2016-12-04,-639.7378699058022,1000 1359,11,1002123S
2016-12-11,-697.3928517324418,1000 1359,11,1002123S
2016-12-18,-755.0478335590808,1000 1359,11,1002123S
2016-12-25,-812.7028153857202,1000 1359,11,1002123S
2017-01-01,-870.3577972123599,1000 1359,11,1002123S
2017-01-08,-928.0127790389988,1000 1359,11,1002123S
2017-01-15,-985.6677608656378,1000 1359,11,1002123S
2016-10-30,-351.4629607726058,1000 1359,11,1002667S
2016-11-06,-409.1179425992452,1000 1359,11,1002667S
